Bairro,"Renda média, 2000"
Aflitos,"3.630,33 "
Afogados,"512,58 "
Água Fria,"348,55 "
Alto do Mandu,"462,02 "
Alto José Bonifácio,"269,52 "
Alto José do Pinho,"297,08 "
Alto Santa Terezinha,"261,68 "
Apipucos,"504,39 "
Areias,"698,63 "
Arruda,"768,67 "
Barro,"389,62 "
Beberibe,"306,49 "
Boa Viagem,"2.857,28 "
Boa Vista,"1.659,78 "
Bomba do Hemetério,"320,43 "
Bongi,"611,16 "
Brasília Teimosa,"313,09 "
Brejo da Guabiraba,"268,08 "
Brejo do Beberibe,"291,78 "
Cabanga,"647,07 "
Caçote,"233,25 "
Cajueiro,"824,46 "
Campina do Barreto,"362,58 "
Campo Grande,"671,40 "
Casa Amarela,"1.240,07 "
Casa Forte,"3.970,65 "
Caxangá,"710,08 "
Cidade Universitária,"690,87 "
Coelhos,"298,82 "
Cohab,"316,69 "
Coqueiral,"309,50 "
Cordeiro,"1.077,06 "
Córrego do Jenipapo,"296,00 "
Curado,"351,94 "
Derby,"3.351,57 "
Dois Irmãos,"392,89 "
Dois Unidos,"274,80 "
Encruzilhada,"1.758,44 "
Engenho do Meio,"788,63 "
Espinheiro,"2.821,28 "
Estância,"423,11 "
Fundão,"545,42 "
Graças,"3.589,62 "
Guabiraba,"288,24 "
Hipódromo,"1.739,90 "
Ibura,"393,67 "
Ilha do Leite,"1.545,82 "
Ilha do Retiro,"1.224,81 "
Ilha Joana Bezerra,"183,82 "
Imbiribeira,"801,27 "
Ipsep,"871,80 "
Iputinga,"743,44 "
Jaqueira,"5.178,64 "
Jardim São Paulo,"629,61 "
Jiquiá,"589,83 "
Jordão,"358,01 "
Linha do Tiro,"290,05 "
Macaxeira,"343,13 "
Madalena,"1.735,65 "
Mangabeira,"430,30 "
Mangueira,"305,46 "
Monteiro,"1.885,87 "
Morro da Conceição,"284,27 "
Mustardinha,"356,75 "
Nova Descoberta,"242,78 "
Paissandu,"1.881,28 "
Parnamirim,"3.546,99 "
Passarinho,"200,93 "
Pau-Ferro,"1.315,26 "
Peixinhos,"206,26 "
Pina,"758,63 "
Poço,"3.431,14 "
Ponto de Parada,"1.198,14 "
Porto da Madeira,"654,00 "
Prado,"856,92 "
Recife,"156,88 "
Rosarinho,"1.736,90 "
San Martin,"574,47 "
Sancho,"551,05 "
Santana,"2.848,08 "
Santo Amaro,"689,06 "
Santo Antônio,"659,10 "
Sao José,"262,94 "
Sítio dos Pintos,"467,23 "
Soledade,"1.652,08 "
Tamarineira,"2.344,84 "
Tejipió,"619,99 "
Torre,"1.334,11 "
Torreão,"2.838,67 "
Torrões,"347,43 "
Totó,"371,97 "
Várzea,"669,39 "
Vasco da Gama,"317,76 "
Zumbi,"757,28 "